,Last,First,Minutes,Seconds,Goals,Shots,Action Goals,Action Shots,Center Goals,Center Shots,Drive Goals,Drive Shots,Extra Goals,Extra Shots,Foul Goals,Foul Shots,6MF Goals,6MF Shots,PS Goals,PS Shots,CA Goals,CA Shots,TF,ST,RB,BL,SP Won,SP Attempts,CP EX,FP EX,DS EX,M6 EX,CS EX,DE,P EX,Total EX,Team,Opponent,Outcome,stat_type
555,AICARDI,Matteo,13.0,24.0,2.0,2.0,,,1.0,1.0,,,1.0,1.0,,,,,,,,,1.0,,1.0,1.0,,,,,,1.0,,,,1.0,ITA,JPN,W,Player
556,DOLCE,Vincenzo,22.0,42.0,1.0,2.0,0.0,1.0,,,,,,,,,,,1.0,1.0,,,,1.0,,,,,1.0,,,,,,,1.0,ITA,JPN,W,Player
557,,,,,16.0,26.0,3.0,7.0,1.0,3.0,1.0,2.0,7.0,9.0,0.0,1.0,,,3.0,3.0,1.0,1.0,6.0,12.0,7.0,4.0,4.0,4.0,5.0,3.0,1.0,1.0,2.0,,3.0,15.0,ITA,JPN,W,Team
558,TANAMURA,Katsuyuki,32.0,0.0,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,0.0,JPN,ITA,L,Player
559,ADACHI,Seiya,23.0,3.0,1.0,4.0,,,,,,,1.0,2.0,0.0,1.0,,,,,0.0,1.0,,1.0,1.0,,0.0,1.0,,1.0,,,,,,1.0,JPN,ITA,L,Player
560,KOPPU,Harukiirario,21.0,29.0,0.0,1.0,,,,,,,,,0.0,1.0,,,,,,,1.0,2.0,,,,,,,,,,,1.0,1.0,JPN,ITA,L,Player
561,SHIGA,Mitsuaki,20.0,36.0,1.0,5.0,0.0,2.0,,,,,0.0,1.0,,,,,,,1.0,2.0,,4.0,,,,,,,,,,,1.0,1.0,JPN,ITA,L,Player
562,YOSHIDA,Takuma,16.0,54.0,0.0,2.0,,,,,,,0.0,2.0,,,,,,,,,,,,,0.0,1.0,,,1.0,,,,,1.0,JPN,ITA,L,Player
563,SUZUKI,Toi,13.0,45.0,1.0,2.0,,,,,1.0,1.0,,,0.0,1.0,,,,,,,1.0,1.0,,,0.0,1.0,,,,,,,,0.0,JPN,ITA,L,Player
564,SHIMIZU,Yusuke,12.0,13.0,0.0,3.0,,,0.0,2.0,,,0.0,1.0,,,,,,,,,,,,,,,,1.0,,,,,,1.0,JPN,ITA,L,Player
565,TAKATA,Mitsuru,11.0,14.0,1.0,2.0,,,,,,,1.0,1.0,,,,,,,0.0,1.0,1.0,,,,,,,2.0,,,,,,2.0,JPN,ITA,L,Player
566,ARAI,Atsushi,19.0,45.0,1.0,2.0,,,,,,,1.0,1.0,,,,,0.0,1.0,,,,1.0,,,0.0,1.0,1.0,2.0,,,,,,3.0,JPN,ITA,L,Player
567,INABA,Yusuke,25.0,37.0,3.0,8.0,0.0,2.0,,,,,1.0,2.0,0.0,2.0,,,2.0,2.0,,,,1.0,1.0,1.0,,,,1.0,,,,,,1.0,JPN,ITA,L,Player
568,OKAWA,Keigo,20.0,31.0,0.0,2.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,JPN,ITA,L,Player
569,ARAKI,Kenta,6.0,53.0,0.0,1.0,,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,JPN,ITA,L,Player
570,,,,,8.0,32.0,0.0,6.0,0.0,3.0,1.0,1.0,4.0,10.0,0.0,5.0,,,2.0,3.0,1.0,4.0,3.0,16.0,2.0,1.0,0.0,4.0,1.0,7.0,1.0,,,,3.0,12.0,JPN,ITA,L,Team
571,CARD,Devon,14.0,48.0,1.0,1.0,,,1.0,1.0,,,,,,,,,,,,,2.0,,,1.0,,,,,,,,,,0.0,RSA,GRE,L,Player
572,REZELMAN,Timothy,15.0,32.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,0.0,RSA,GRE,L,Player
573,BADENHORST,Nardus,16.0,15.0,1.0,3.0,0.0,1.0,,,,,1.0,2.0,,,,,,,,,,,,,,,1.0,,,,,,,1.0,RSA,GRE,L,Player
574,LAURENSON,Cameron Bain,13.0,7.0,0.0,1.0,,,,,,,0.0,1.0,,,,,,,,,,,,,,,1.0,,,,,,,1.0,RSA,GRE,L,Player
575,STONE,Ross,23.0,14.0,2.0,6.0,1.0,3.0,,,,,1.0,3.0,,,,,,,,,,,1.0,1.0,0.0,1.0,,,,1.0,,,,1.0,RSA,GRE,L,Player
576,EVEZARD,Jason,24.0,22.0,1.0,6.0,1.0,3.0,0.0,1.0,,,0.0,1.0,,,0.0,1.0,,,,,1.0,,1.0,1.0,1.0,1.0,2.0,,,,,,,2.0,RSA,GRE,L,Player
577,RODDA,Nicholas,24.0,16.0,0.0,1.0,,,,,,,0.0,1.0,,,,,,,,,,,1.0,,1.0,2.0,,,,,,,1.0,1.0,RSA,GRE,L,Player
578,MARGRO,Yaseen,19.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,RSA,GRE,L,Player
579,MAYMAN,Mogamad Farouk,8.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,RSA,GRE,L,Player
580,NEILL,Liam,15.0,37.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,0.0,RSA,GRE,L,Player
581,STEWART,Donn,17.0,26.0,0.0,4.0,0.0,4.0,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,1.0,RSA,GRE,L,Player
582,MAY,Gareth,32.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,RSA,GRE,L,Player
583,,,,,5.0,22.0,2.0,11.0,1.0,2.0,,,2.0,8.0,,,0.0,1.0,,,,,8.0,,4.0,3.0,2.0,4.0,7.0,,,1.0,,,1.0,9.0,RSA,GRE,L,Team
584,GENIDOUNIAS,Konstantinos,13.0,43.0,1.0,3.0,1.0,2.0,,,,,,,,,,,,,0.0,1.0,1.0,,,,1.0,2.0,,1.0,,,,,,1.0,GRE,RSA,W,Player
585,SKOUMPAKIS,Dimitrios,16.0,13.0,3.0,3.0,3.0,3.0,,,,,,,,,,,,,,,,2.0,,,,,2.0,,,,,,,2.0,GRE,RSA,W,Player
586,KAPOTSIS,Marios,20.0,44.0,3.0,4.0,1.0,1.0,,,,,1.0,1.0,,,,,,,1.0,2.0,,1.0,1.0,1.0,,,1.0,,,,,,,1.0,GRE,RSA,W,Player
587,FOUNTOULIS,Ioannis,16.0,30.0,5.0,6.0,2.0,3.0,,,,,1.0,1.0,,,,,,,2.0,2.0,,1.0,1.0,,,,1.0,,,,,,,1.0,GRE,RSA,W,Player
588,PAPANASTASIOU,Alexandros,20.0,49.0,3.0,6.0,2.0,2.0,,,0.0,1.0,0.0,1.0,,,,,,,1.0,2.0,,1.0,,,1.0,1.0,,,,,,,,0.0,GRE,RSA,W,Player
589,DERVISIS,Georgios,16.0,48.0,2.0,2.0,,,,,,,1.0,1.0,,,,,,,1.0,1.0,,1.0,1.0,1.0,,,,1.0,,,,,,1.0,GRE,RSA,W,Player
590,ARGYROPOULOS KANAKAKIS,Stylianos,18.0,8.0,4.0,6.0,1.0,3.0,,,,,2.0,2.0,,,,,,,1.0,1.0,,2.0,1.0,,,,1.0,,,,,,,1.0,GRE,RSA,W,Player
591,MOURIKIS,Konstantinos,13.0,39.0,1.0,2.0,,,0.0,1.0,,,,,,,,,,,1.0,1.0,2.0,,,,,,,,,,,,,0.0,GRE,RSA,W,Player
592,KOLOMVOS,Christodoulos,15.0,40.0,1.0,2.0,,,0.0,1.0,,,1.0,1.0,,,,,,,,,1.0,,,1.0,,,,,,,,,,0.0,GRE,RSA,W,Player
593,GKIOUVETSIS,Konstantinos,20.0,49.0,3.0,6.0,0.0,2.0,0.0,1.0,,,1.0,1.0,1.0,1.0,,,1.0,1.0,,,,2.0,,,0.0,1.0,,1.0,,,,,,1.0,GRE,RSA,W,Player
594,VLACHOPOULOS,Angelos,18.0,57.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,4.0,,1.0,,,,,,,,,,0.0,GRE,RSA,W,Player
595,GALANIDIS,Konstantinos,32.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,GRE,RSA,W,Player
596,,,,,28.0,42.0,12.0,18.0,0.0,3.0,0.0,1.0,7.0,8.0,1.0,1.0,,,1.0,1.0,7.0,10.0,4.0,14.0,4.0,4.0,2.0,4.0,5.0,3.0,,,,,,8.0,GRE,RSA,W,Team
597,WOLF,Alex,32.0,0.0,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,0.0,USA,HUN,L,Player
598,HOOPER,Johnny,15.0,25.0,1.0,3.0,0.0,1.0,,,,,1.0,2.0,,,,,,,,,,,,,2.0,3.0,,,,,,,,0.0,USA,HUN,L,Player
599,VAVIC,Marko,19.0,5.0,0.0,1.0,,,,,,,0.0,1.0,,,,,,,,,,1.0,,1.0,,,1.0,,,,,,,1.0,USA,HUN,L,Player
600,OBERT,Alex,16.0,8.0,1.0,2.0,,,1.0,2.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,0.0,USA,HUN,L,Player
601,DAUBE,Hannes,21.0,24.0,1.0,5.0,0.0,1.0,,,,,1.0,4.0,,,,,,,,,1.0,,,,,,2.0,,,,1.0,,,3.0,USA,HUN,L,Player
602,CUPIDO,Luca,24.0,31.0,1.0,7.0,0.0,4.0,,,,,1.0,3.0,,,,,,,,,,,,1.0,,,1.0,,,,,,,1.0,USA,HUN,L,Player
603,HALLOCK,Ben,17.0,55.0,2.0,5.0,,,1.0,3.0,,,1.0,1.0,0.0,1.0,,,,,,,2.0,1.0,,,,,,,,,,,,0.0,USA,HUN,L,Player
604,WOODHEAD,Dylan,6.0,53.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,1.0,USA,HUN,L,Player
605,BOWEN,Alex,24.0,26.0,2.0,3.0,1.0,1.0,,,,,1.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,0.0,USA,HUN,L,Player
606,STEVENSON,Ben,15.0,24.0,0.0,3.0,,,,,,,0.0,3.0,,,,,,,,,,1.0,,1.0,,,1.0,,,,,,,1.0,USA,HUN,L,Player
607,SMITH,Jesse,6.0,55.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,2.0,USA,HUN,L,Player
608,IRVING,Max,23.0,54.0,0.0,2.0,0.0,1.0,,,,,0.0,1.0,,,,,,,,,,1.0,1.0,,0.0,1.0,,,,,,,1.0,1.0,USA,HUN,L,Player
609,,,,,8.0,31.0,1.0,8.0,2.0,5.0,,,5.0,16.0,0.0,2.0,,,,,,,4.0,6.0,1.0,5.0,2.0,4.0,7.0,,,1.0,1.0,,1.0,10.0,USA,HUN,L,Team
610,NAGY,Viktor,32.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,HUN,USA,W,Player
611,ANGYAL,Daniel,14.0,17.0,0.0,1.0,,,,,,,0.0,1.0,,,,,,,,,,1.0,,,,,1.0,,,,,,,1.0,HUN,USA,W,Player
612,MANHERCZ,Krisztian,24.0,12.0,3.0,5.0,1.0,1.0,,,,,1.0,3.0,1.0,1.0,,,,,,,,1.0,2.0,2.0,1.0,2.0,,,,,,,,0.0,HUN,USA,W,Player
613,ZALANKI,Gergo,22.0,56.0,0.0,7.0,0.0,5.0,,,,,0.0,1.0,0.0,1.0,,,,,,,,1.0,,1.0,,,1.0,1.0,,,,,,2.0,HUN,USA,W,Player
614,VAMOS,Marton,19.0,43.0,2.0,2.0,1.0,1.0,,,,,1.0,1.0,,,,,,,,,,1.0,,1.0,,,,1.0,,,1.0,,,2.0,HUN,USA,W,Player
615,HOSNYANSZKY,Norbert,14.0,22.0,1.0,4.0,0.0,2.0,,,,,1.0,2.0,,,,,,,,,,,1.0,,,,2.0,,,,,,,2.0,HUN,USA,W,Player
616,PASZTOR,Matyas,15.0,56.0,1.0,2.0,,,,,,,1.0,2.0,,,,,,,,,2.0,,1.0,,,,1.0,,,,,,,1.0,HUN,USA,W,Player
617,JANSIK,Szilard,11.0,51.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,2.0,HUN,USA,W,Player
618,ERDELYI,Balazs,12.0,26.0,0.0,2.0,,,,,,,0.0,2.0,,,,,,,,,,,,,1.0,2.0,1.0,2.0,,,,,,3.0,HUN,USA,W,Player
619,VARGA,Denes,29.0,33.0,2.0,5.0,1.0,4.0,,,,,,,,,,,1.0,1.0,,,,1.0,2.0,1.0,,,1.0,,,,,,,1.0,HUN,USA,W,Player
620,MEZEI,Tamas,13.0,28.0,1.0,2.0,,,1.0,1.0,,,0.0,1.0,,,,,,,,,2.0,,2.0,,,,,1.0,,,,,,1.0,HUN,USA,W,Player
621,HARAI,Balazs,13.0,16.0,1.0,1.0,,,1.0,1.0,,,,,,,,,,,,,3.0,,,1.0,,,,,,,1.0,,,1.0,HUN,USA,W,Player
622,,,,,11.0,31.0,3.0,13.0,2.0,2.0,,,4.0,13.0,1.0,2.0,,,1.0,1.0,,,8.0,5.0,8.0,6.0,2.0,4.0,8.0,6.0,,,2.0,,,16.0,HUN,USA,W,Team
623,TANAMURA,Katsuyuki,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,JPN,RSA,W,Player
624,ADACHI,Seiya,19.0,5.0,4.0,8.0,0.0,2.0,,,,,2.0,3.0,,,,,1.0,2.0,1.0,1.0,,,,,2.0,2.0,,1.0,,,1.0,,,2.0,JPN,RSA,W,Player
625,KOPPU,Harukiirario,19.0,4.0,0.0,1.0,0.0,1.0,,,,,,,,,,,,,,,1.0,2.0,,,,,1.0,,,,,,,1.0,JPN,RSA,W,Player
626,SHIGA,Mitsuaki,23.0,48.0,2.0,2.0,1.0,1.0,,,1.0,1.0,,,,,,,,,,,,2.0,,,,,1.0,,,,,,,1.0,JPN,RSA,W,Player
627,YOSHIDA,Takuma,17.0,35.0,0.0,1.0,,,,,,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,1.0,1.0,JPN,RSA,W,Player
628,SHIMIZU,Yusuke,13.0,54.0,3.0,7.0,,,2.0,4.0,,,0.0,2.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,0.0,JPN,RSA,W,Player
629,TAKATA,Mitsuru,15.0,32.0,2.0,3.0,0.0,1.0,,,,,,,,,,,,,2.0,2.0,,1.0,1.0,,,,1.0,1.0,,,,,,2.0,JPN,RSA,W,Player
630,ARAI,Atsushi,26.0,7.0,4.0,6.0,1.0,1.0,,,,,3.0,4.0,0.0,1.0,,,,,,,,,2.0,1.0,1.0,2.0,,1.0,,,,,,1.0,JPN,RSA,W,Player
631,INABA,Yusuke,23.0,15.0,3.0,9.0,2.0,4.0,,,,,0.0,3.0,,,,,1.0,1.0,0.0,1.0,,4.0,1.0,,,,,,,,,,,0.0,JPN,RSA,W,Player
632,OKAWA,Keigo,22.0,45.0,3.0,3.0,,,,,,,,,,,,,,,3.0,3.0,,1.0,1.0,,,,1.0,,,,,,,1.0,JPN,RSA,W,Player
633,ARAKI,Kenta,10.0,55.0,3.0,3.0,,,2.0,2.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,0.0,JPN,RSA,W,Player
634,FUKUSHIMA,Tomoyoshi,32.0,0.0,,,,,,,,,,,,,,,,,,,,4.0,,,,,1.0,,,,,,1.0,2.0,JPN,RSA,W,Player
635,,,,,24.0,43.0,4.0,10.0,4.0,6.0,1.0,1.0,6.0,14.0,0.0,1.0,,,2.0,3.0,7.0,8.0,1.0,14.0,5.0,1.0,3.0,4.0,5.0,3.0,,,1.0,,2.0,11.0,JPN,RSA,W,Team
636,MADI,Lwazi,32.0,0.0,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,0.0,RSA,JPN,L,Player
637,CARD,Devon,19.0,24.0,1.0,3.0,,,0.0,2.0,,,1.0,1.0,,,,,,,,,2.0,,,2.0,,,,,,,,,,0.0,RSA,JPN,L,Player
638,REZELMAN,Timothy,8.0,47.0,0.0,1.0,,,,,,,0.0,1.0,,,,,,,,,1.0,,,,,,,,,,2.0,,1.0,3.0,RSA,JPN,L,Player
639,BADENHORST,Nardus,19.0,36.0,2.0,6.0,1.0,3.0,,,,,1.0,1.0,0.0,1.0,,,0.0,1.0,,,,,,,,,,,,,1.0,,,1.0,RSA,JPN,L,Player
640,LAURENSON,Cameron Bain,7.0,35.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,RSA,JPN,L,Player
641,STONE,Ross,15.0,19.0,1.0,1.0,,,,,,,1.0,1.0,,,,,,,,,,1.0,,1.0,,,1.0,1.0,,1.0,,,,3.0,RSA,JPN,L,Player
642,EVEZARD,Jason,18.0,59.0,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,1.0,1.0,,,,,1.0,3.0,RSA,JPN,L,Player
643,RODDA,Nicholas,21.0,16.0,0.0,2.0,0.0,1.0,,,,,,,0.0,1.0,,,,,,,,,,,1.0,1.0,,,,,,,,0.0,RSA,JPN,L,Player
644,MARGRO,Yaseen,22.0,45.0,,,,,,,,,,,,,,,,,,,,1.0,,1.0,0.0,1.0,,,1.0,,,,,1.0,RSA,JPN,L,Player
645,MAYMAN,Mogamad Farouk,14.0,40.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,1.0,RSA,JPN,L,Player
646,NEILL,Liam,21.0,37.0,4.0,5.0,1.0,2.0,2.0,2.0,,,1.0,1.0,,,,,,,,,1.0,,1.0,,,,1.0,,1.0,,,,,2.0,RSA,JPN,L,Player
647,STEWART,Donn,22.0,2.0,1.0,5.0,0.0,2.0,,,,,1.0,2.0,,,,,0.0,1.0,,,1.0,2.0,1.0,,,,,,,,,,1.0,1.0,RSA,JPN,L,Player
648,,,,,9.0,23.0,2.0,8.0,2.0,4.0,,,5.0,7.0,0.0,2.0,,,0.0,2.0,,,9.0,7.0,2.0,4.0,1.0,4.0,5.0,2.0,2.0,1.0,3.0,,3.0,16.0,RSA,JPN,L,Team
649,NAGY,Viktor,32.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,HUN,ITA,L,Player
650,ANGYAL,Daniel,14.0,31.0,1.0,2.0,,,,,,,1.0,2.0,,,,,,,,,1.0,,2.0,1.0,,,1.0,,1.0,,,,,2.0,HUN,ITA,L,Player
651,MANHERCZ,Krisztian,25.0,43.0,0.0,7.0,0.0,4.0,,,,,0.0,2.0,,,,,,,0.0,1.0,,,1.0,1.0,0.0,1.0,,,,,,,,0.0,HUN,ITA,L,Player
652,ZALANKI,Gergo,24.0,10.0,0.0,3.0,0.0,1.0,,,,,0.0,2.0,,,,,,,,,,,,2.0,0.0,1.0,,,,,,,,0.0,HUN,ITA,L,Player
653,VAMOS,Marton,25.0,45.0,0.0,1.0,,,,,,,0.0,1.0,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,1.0,1.0,HUN,ITA,L,Player
654,HOSNYANSZKY,Norbert,6.0,49.0,0.0,1.0,,,,,,,0.0,1.0,,,,,,,,,,,,1.0,,,1.0,1.0,,,,,,2.0,HUN,ITA,L,Player
655,PASZTOR,Matyas,13.0,30.0,0.0,1.0,,,,,,,0.0,1.0,,,,,,,,,,,1.0,,,,,,,,1.0,,,1.0,HUN,ITA,L,Player
656,JANSIK,Szilard,13.0,16.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,2.0,HUN,ITA,L,Player
657,ERDELYI,Balazs,14.0,26.0,0.0,1.0,,,,,,,0.0,1.0,,,,,,,,,,,,,0.0,1.0,1.0,,,,,,,1.0,HUN,ITA,L,Player
658,VARGA,Denes,26.0,11.0,3.0,3.0,1.0,1.0,,,,,1.0,1.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,0.0,HUN,ITA,L,Player
659,MEZEI,Tamas,13.0,55.0,,,,,,,,,,,,,,,,,,,2.0,1.0,2.0,,,,,1.0,,,1.0,,,2.0,HUN,ITA,L,Player
660,HARAI,Balazs,13.0,44.0,0.0,1.0,,,0.0,1.0,,,,,,,,,,,,,2.0,,,1.0,,,1.0,1.0,,,1.0,,,3.0,HUN,ITA,L,Player
661,,,,,5.0,21.0,2.0,7.0,0.0,1.0,,,2.0,11.0,,,,,,,1.0,2.0,6.0,2.0,7.0,7.0,1.0,4.0,5.0,4.0,1.0,,3.0,,1.0,14.0,HUN,ITA,L,Team
662,Del LUNGO,Marco,32.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,ITA,HUN,W,Player
663,Di FULVIO,Francesco,25.0,23.0,1.0,9.0,0.0,5.0,,,,,1.0,4.0,,,,,,,,,1.0,,,1.0,2.0,2.0,,,,,,,,0.0,ITA,HUN,W,Player
664,LUONGO,Stefano,25.0,36.0,0.0,4.0,0.0,2.0,,,,,0.0,1.0,0.0,1.0,,,,,,,,,,,0.0,1.0,,,,,,,,0.0,ITA,HUN,W,Player
665,FIGLIOLI,Pietro,19.0,35.0,2.0,6.0,1.0,3.0,,,,,0.0,2.0,,,,,1.0,1.0,,,,1.0,2.0,1.0,1.0,1.0,,1.0,,,,,,1.0,ITA,HUN,W,Player
666,PRESCIUTTI,Nicholas,22.0,26.0,0.0,3.0,0.0,2.0,,,,,0.0,1.0,,,,,,,,,,3.0,1.0,,,,2.0,,,,,,,2.0,ITA,HUN,W,Player
667,VELOTTO,Alessandro,8.0,43.0,0.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,ITA,HUN,W,Player
668,RENZUTO IODICE,Vincenzo,14.0,20.0,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,1.0,,,,,,,1.0,ITA,HUN,W,Player
669,ECHENIQUE,Gonzalo,28.0,50.0,1.0,4.0,0.0,3.0,,,,,1.0,1.0,,,,,,,,,,2.0,2.0,1.0,,,1.0,1.0,,,,,,2.0,ITA,HUN,W,Player
670,FIGARI,Niccolo,5.0,31.0,0.0,1.0,,,,,,,0.0,1.0,,,,,,,,,,,,,,,2.0,,1.0,,,,,3.0,ITA,HUN,W,Player
671,BODEGAS,Michael Alexandre,15.0,51.0,0.0,1.0,,,,,,,0.0,1.0,,,,,,,,,2.0,2.0,1.0,1.0,,,,,,,1.0,,,1.0,ITA,HUN,W,Player
672,AICARDI,Matteo,15.0,42.0,1.0,1.0,,,,,,,1.0,1.0,,,,,,,,,1.0,,1.0,,,,1.0,,,,,,,1.0,ITA,HUN,W,Player
673,DOLCE,Vincenzo,10.0,3.0,0.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,2.0,ITA,HUN,W,Player
674,,,,,5.0,31.0,1.0,17.0,,,,,3.0,12.0,0.0,1.0,,,1.0,1.0,,,6.0,8.0,8.0,4.0,3.0,4.0,9.0,3.0,1.0,,1.0,,,14.0,ITA,HUN,W,Team
675,ZERDEVAS,Emmanouil,32.0,0.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,0.0,GRE,USA,W,Player
676,GENIDOUNIAS,Konstantinos,18.0,27.0,5.0,7.0,1.0,3.0,,,,,2.0,2.0,,,,,1.0,1.0,1.0,1.0,,2.0,1.0,,0.0,2.0,,,,,,,,0.0,GRE,USA,W,Player
677,SKOUMPAKIS,Dimitrios,10.0,19.0,1.0,3.0,1.0,2.0,,,,,0.0,1.0,,,,,,,,,,1.0,,,,,3.0,,,,,,,3.0,GRE,USA,W,Player
678,KAPOTSIS,Marios,21.0,41.0,0.0,2.0,0.0,1.0,,,,,0.0,1.0,,,,,,,,,1.0,,,1.0,,,1.0,,,,,,,1.0,GRE,USA,W,Player
679,FOUNTOULIS,Ioannis,25.0,5.0,4.0,4.0,2.0,2.0,,,,,1.0,1.0,,,,,,,1.0,1.0,3.0,1.0,,2.0,,,,,,,1.0,,,1.0,GRE,USA,W,Player
680,PAPANASTASIOU,Alexandros,21.0,10.0,,,,,,,,,,,,,,,,,,,,2.0,1.0,,1.0,2.0,,,,,,,,0.0,GRE,USA,W,Player
681,DERVISIS,Georgios,7.0,51.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,3.0,GRE,USA,W,Player
682,ARGYROPOULOS KANAKAKIS,Stylianos,19.0,8.0,2.0,4.0,0.0,1.0,1.0,1.0,,,1.0,2.0,,,,,,,,,,,1.0,,,,3.0,,,,,,,3.0,GRE,USA,W,Player
683,MOURIKIS,Konstantinos,13.0,46.0,0.0,1.0,,,0.0,1.0,,,,,,,,,,,,,,,,2.0,,,,,,,,,,0.0,GRE,USA,W,Player
684,KOLOMVOS,Christodoulos,11.0,22.0,1.0,2.0,,,1.0,2.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,GRE,USA,W,Player
685,GKIOUVETSIS,Konstantinos,17.0,35.0,0.0,1.0,,,,,,,0.0,1.0,,,,,,,,,,,1.0,2.0,,,1.0,,,,1.0,,,2.0,GRE,USA,W,Player
686,VLACHOPOULOS,Angelos,25.0,36.0,1.0,3.0,0.0,1.0,,,,,,,0.0,1.0,,,1.0,1.0,,,,,3.0,,,,,,,,,,,0.0,GRE,USA,W,Player
687,,,,,14.0,27.0,4.0,10.0,2.0,4.0,,,4.0,8.0,0.0,1.0,,,2.0,2.0,2.0,2.0,6.0,7.0,7.0,7.0,1.0,4.0,10.0,1.0,1.0,,2.0,,,14.0,GRE,USA,W,Team
688,HOOPER,Johnny,19.0,1.0,0.0,2.0,0.0,1.0,,,,,0.0,1.0,,,,,,,,,,,,,3.0,4.0,,,,,,,,0.0,USA,GRE,L,Player
689,VAVIC,Marko,18.0,50.0,0.0,2.0,0.0,1.0,,,,,0.0,1.0,,,,,,,,,,1.0,,,,,,,,,,,1.0,1.0,USA,GRE,L,Player
690,OBERT,Alex,15.0,24.0,2.0,3.0,,,2.0,2.0,,,0.0,1.0,,,,,,,,,2.0,1.0,,,,,,,,,1.0,,1.0,2.0,USA,GRE,L,Player
691,DAUBE,Hannes,18.0,55.0,0.0,5.0,0.0,2.0,,,,,0.0,1.0,0.0,1.0,,,,,0.0,1.0,,,1.0,1.0,,,,,,,,,,0.0,USA,GRE,L,Player
692,CUPIDO,Luca,24.0,52.0,0.0,2.0,,,,,,,0.0,1.0,,,,,,,,,,1.0,,,,,1.0,,,,,,,1.0,USA,GRE,L,Player
693,HALLOCK,Ben,19.0,16.0,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,0.0,USA,GRE,L,Player
694,WOODHEAD,Dylan,9.0,5.0,0.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,2.0,USA,GRE,L,Player
695,BOWEN,Alex,21.0,39.0,1.0,10.0,0.0,4.0,0.0,1.0,,,1.0,5.0,,,,,,,,,1.0,,1.0,1.0,,,,1.0,,,1.0,,,2.0,USA,GRE,L,Player
696,STEVENSON,Ben,11.0,40.0,1.0,2.0,,,,,,,1.0,1.0,,,,,,,0.0,1.0,,,,,,,,,,,,,,0.0,USA,GRE,L,Player
697,SMITH,Jesse,9.0,10.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,1.0,USA,GRE,L,Player
698,IRVING,Max,24.0,8.0,1.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,0.0,USA,GRE,L,Player
699,HOLLAND,Drew,32.0,0.0,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,0.0,USA,GRE,L,Player
