,Last,First,Minutes,Seconds,Goals,Shots,Action Goals,Action Shots,Center Goals,Center Shots,Drive Goals,Drive Shots,Extra Goals,Extra Shots,Foul Goals,Foul Shots,6MF Goals,6MF Shots,PS Goals,PS Shots,CA Goals,CA Shots,TF,ST,RB,BL,SP Won,SP Attempts,CP EX,FP EX,DS EX,M6 EX,CS EX,DE,P EX,Total EX,Team,Opponent,Outcome,stat_type
362,,,,,12.0,35.0,3.0,14.0,,,,,7.0,12.0,0.0,3.0,,,1.0,2.0,1.0,4.0,4.0,4.0,5.0,4.0,2.0,4.0,7.0,5.0,,,,,3.0,15.0,ITA,USA,W,Team
363,NAGY,Viktor,16.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,HUN,RSA,W,Player
364,ANGYAL,Daniel,16.0,38.0,2.0,4.0,0.0,1.0,1.0,1.0,,,,,,,,,,,1.0,2.0,,,,,,,,,,,,,,0.0,HUN,RSA,W,Player
365,MANHERCZ,Krisztian,27.0,0.0,5.0,5.0,1.0,1.0,,,,,1.0,1.0,,,,,,,3.0,3.0,,,1.0,1.0,3.0,3.0,,,,,,,,0.0,HUN,RSA,W,Player
366,ZALANKI,Gergo,18.0,52.0,0.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,2.0,,1.0,1.0,1.0,,,,,,,,0.0,HUN,RSA,W,Player
367,VAMOS,Marton,22.0,45.0,4.0,6.0,2.0,4.0,,,,,2.0,2.0,,,,,,,,,,,1.0,,,,,,,,,,,0.0,HUN,RSA,W,Player
368,HOSNYANSZKY,Norbert,17.0,40.0,1.0,5.0,0.0,3.0,,,,,1.0,2.0,,,,,,,,,,1.0,1.0,,,,2.0,,,,,,,2.0,HUN,RSA,W,Player
369,PASZTOR,Matyas,24.0,10.0,4.0,6.0,2.0,3.0,,,,,0.0,1.0,,,,,,,2.0,2.0,1.0,,,,,,2.0,,,,,,,2.0,HUN,RSA,W,Player
370,JANSIK,Szilard,15.0,6.0,2.0,3.0,0.0,1.0,,,,,1.0,1.0,,,,,1.0,1.0,,,,2.0,,,,,3.0,,,,,,,3.0,HUN,RSA,W,Player
371,ERDELYI,Balazs,24.0,41.0,3.0,5.0,0.0,2.0,1.0,1.0,,,1.0,1.0,,,,,,,1.0,1.0,,4.0,,,,,,,,,,,,0.0,HUN,RSA,W,Player
372,MEZEI,Tamas,15.0,51.0,1.0,2.0,,,1.0,2.0,,,,,,,,,,,,,,2.0,,1.0,,,,1.0,,,,,,1.0,HUN,RSA,W,Player
373,HARAI,Balazs,9.0,17.0,1.0,1.0,,,,,,,1.0,1.0,,,,,,,,,,,1.0,,,,,,,,,,,0.0,HUN,RSA,W,Player
374,VOGEL,Soma,16.0,0.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,0.0,HUN,RSA,W,Player
375,,,,,23.0,38.0,5.0,16.0,3.0,4.0,,,7.0,9.0,,,,,1.0,1.0,7.0,8.0,1.0,12.0,4.0,3.0,4.0,4.0,7.0,1.0,,,,,,8.0,HUN,RSA,W,Team
376,MADI,Lwazi,32.0,0.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,0.0,RSA,HUN,L,Player
377,CARD,Devon,15.0,43.0,0.0,3.0,0.0,1.0,,,,,0.0,2.0,,,,,,,,,,,,,,,1.0,,,,,,,1.0,RSA,HUN,L,Player
378,REZELMAN,Timothy,15.0,36.0,0.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,RSA,HUN,L,Player
