,Last,First,Play Time,Minutes,Seconds,Goals,Shots,Action Goals,Action Shots,Center Goals,Center Shots,Drive Goals,Drive Shots,Extra Goals,Extra Shots,Foul Goals,Foul Shots,6MF Goals,6MF Shots,PS Goals,PS Shots,CA Goals,CA Shots,TF,ST,RB,BL,SP Won,SP Attempts,CP EX,FP EX,DS EX,M6 EX,CS EX,DE,P EX,Total EX,Team,Opponent,Outcome,stat_type,Match Number,Ref 1,Ref 2
563,SUZUKI,Toi,13:45,13.0,45.0,1.0,2.0,,,,,1.0,1.0,,,0.0,1.0,,,,,,,1.0,1.0,,,0.0,1.0,,,,,,,,0.0,JPN,ITA,L,Player,22,PERIŠ,IVANOSKI
564,SHIMIZU,Yusuke,12:13,12.0,13.0,0.0,3.0,,,0.0,2.0,,,0.0,1.0,,,,,,,,,,,,,,,,1.0,,,,,,1.0,JPN,ITA,L,Player,22,PERIŠ,IVANOSKI
565,TAKATA,Mitsuru,11:14,11.0,14.0,1.0,2.0,,,,,,,1.0,1.0,,,,,,,0.0,1.0,1.0,,,,,,,2.0,,,,,,2.0,JPN,ITA,L,Player,22,PERIŠ,IVANOSKI
566,ARAI,Atsushi,19:45,19.0,45.0,1.0,2.0,,,,,,,1.0,1.0,,,,,0.0,1.0,,,,1.0,,,0.0,1.0,1.0,2.0,,,,,,3.0,JPN,ITA,L,Player,22,PERIŠ,IVANOSKI
567,INABA,Yusuke,25:37,25.0,37.0,3.0,8.0,0.0,2.0,,,,,1.0,2.0,0.0,2.0,,,2.0,2.0,,,,1.0,1.0,1.0,,,,1.0,,,,,,1.0,JPN,ITA,L,Player,22,PERIŠ,IVANOSKI
568,OKAWA,Keigo,20:31,20.0,31.0,0.0,2.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,JPN,ITA,L,Player,22,PERIŠ,IVANOSKI
569,ARAKI,Kenta,6:53,6.0,53.0,0.0,1.0,,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,JPN,ITA,L,Player,22,PERIŠ,IVANOSKI
570,,,,,,8.0,32.0,0.0,6.0,0.0,3.0,1.0,1.0,4.0,10.0,0.0,5.0,,,2.0,3.0,1.0,4.0,3.0,16.0,2.0,1.0,0.0,4.0,1.0,7.0,1.0,,,,3.0,12.0,JPN,ITA,L,Team,22,PERIŠ,IVANOSKI
571,CARD,Devon,14:48,14.0,48.0,1.0,1.0,,,1.0,1.0,,,,,,,,,,,,,2.0,,,1.0,,,,,,,,,,0.0,RSA,GRE,L,Player,23,PERIŠ,IVANOSKI
572,REZELMAN,Timothy,15:32,15.0,32.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,0.0,RSA,GRE,L,Player,23,ZHANG,WALDOW
