,Last,First,Play Time,Minutes,Seconds,Goals,Shots,Action Goals,Action Shots,Center Goals,Center Shots,Drive Goals,Drive Shots,Extra Goals,Extra Shots,Foul Goals,Foul Shots,6MF Goals,6MF Shots,PS Goals,PS Shots,CA Goals,CA Shots,TF,ST,RB,BL,SP Won,SP Attempts,CP EX,FP EX,DS EX,M6 EX,CS EX,DE,P EX,Total EX,Team,Opponent,Outcome,stat_type,Match Number,Ref 1,Ref 2
720,VIDOVIC,Stefan,17:07,17.0,7.0,0.0,2.0,0.0,1.0,,,,,0.0,1.0,,,,,,,,,,,,2.0,,,1.0,,,,,,1.0,2.0,MNE,SRB,L,Player,28,OHME,SEVERO
721,UKROPINA,Aleksa,22:07,22.0,7.0,1.0,6.0,1.0,4.0,,,,,0.0,2.0,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,1.0,MNE,SRB,L,Player,28,OHME,SEVERO
722,IVOVIC,Aleksandar,24:58,24.0,58.0,3.0,6.0,1.0,2.0,,,,,0.0,2.0,,,,,2.0,2.0,,,,,1.0,1.0,,,,,,,,,,0.0,MNE,SRB,L,Player,28,OHME,SEVERO
723,MATKOVIC,Dusan,25:47,25.0,47.0,2.0,5.0,0.0,3.0,,,,,1.0,1.0,,,,,1.0,1.0,,,,1.0,1.0,,,,1.0,,,1.0,,,,2.0,MNE,SRB,L,Player,28,OHME,SEVERO
724,BANICEVIC,Dusan,15:47,15.0,47.0,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,1.0,,,,,,,1.0,MNE,SRB,L,Player,28,OHME,SEVERO
725,TESANOVIC,Petar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,MNE,SRB,L,Player,28,OHME,SEVERO
726,,,,,,6.0,31.0,2.0,17.0,0.0,1.0,,,1.0,9.0,,,,,3.0,3.0,0.0,1.0,7.0,5.0,5.0,5.0,2.0,4.0,5.0,,1.0,1.0,,,5.0,12.0,MNE,SRB,L,Team,28,OHME,SEVERO
727,MUNARRIZ EGANA,Alberto,23:05,23.0,5.0,1.0,7.0,1.0,7.0,,,,,,,,,,,,,,,,,2.0,1.0,,,1.0,,,,,,,1.0,ESP,CRO,W,Player,29,OHME,SEVERO
728,GRANADOS ORTEGA,Alvaro,20:25,20.0,25.0,2.0,7.0,1.0,4.0,,,,,0.0,1.0,,,,,1.0,2.0,,,,,2.0,,,,,,,,,,,0.0,ESP,CRO,W,Player,29,KUN,STAVRIDIS
729,SANAHUJA,Bernat,13:23,13.0,23.0,1.0,4.0,0.0,3.0,,,,,1.0,1.0,,,,,,,,,,,,,0.0,1.0,1.0,,,,,,,1.0,ESP,CRO,W,Player,29,KUN,STAVRIDIS
730,de TORO DOMINGUEZ,Miguel,12:52,12.0,52.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,ESP,CRO,W,Player,29,KUN,STAVRIDIS
731,LARUMBE GONFAUS,Marc,19:09,19.0,9.0,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,1.0,,,,,,,1.0,ESP,CRO,W,Player,29,KUN,STAVRIDIS
732,FAMERA,Martin,19:44,19.0,44.0,1.0,3.0,0.0,1.0,,,,,1.0,2.0,,,,,,,,,,,1.0,1.0,3.0,3.0,,1.0,,,,,,1.0,ESP,CRO,W,Player,29,KUN,STAVRIDIS
733,FERNANDEZ MIRANDA,Francisco,17:27,17.0,27.0,0.0,2.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,ESP,CRO,W,Player,29,KUN,STAVRIDIS
734,TAHULL COMPTE,Roger,13:49,13.0,49.0,1.0,3.0,,,1.0,2.0,,,0.0,1.0,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,0.0,ESP,CRO,W,Player,29,KUN,STAVRIDIS
735,PERRONE ROCHA,Felipe,22:15,22.0,15.0,0.0,3.0,0.0,2.0,,,,,0.0,1.0,,,,,,,,,,1.0,,1.0,,,1.0,,,,,,,1.0,ESP,CRO,W,Player,29,KUN,STAVRIDIS
736,MALLARACH GUELL,Blai,12:50,12.0,50.0,1.0,2.0,0.0,1.0,,,,,1.0,1.0,,,,,,,,,1.0,,1.0,,,,,,,,,,,0.0,ESP,CRO,W,Player,29,KUN,STAVRIDIS
737,BUSTOS SANCHEZ,Ale andro,17:01,17.0,1.0,1.0,1.0,,,,,,,1.0,1.0,,,,,,,,,1.0,1.0,3.0,1.0,,,1.0,,,,,,,1.0,ESP,CRO,W,Player,29,KUN,STAVRIDIS
738,AGUIRRE,Unai,32:00,32.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,ESP,CRO,W,Player,29,KUN,STAVRIDIS
739,,,,,,8.0,32.0,2.0,20.0,1.0,2.0,,,4.0,8.0,,,,,1.0,2.0,,,5.0,4.0,11.0,6.0,3.0,4.0,6.0,1.0,,,,,,7.0,ESP,CRO,W,Team,29,KUN,STAVRIDIS
740,BIJAC,Marko,24:00,24.0,0.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,0.0,CRO,ESP,L,Player,29,KUN,STAVRIDIS
741,MACAN,Marko,7:55,7.0,55.0,1.0,1.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,,2.0,,,,,,1.0,3.0,CRO,ESP,L,Player,29,STAVRIDIS,KUN
742,FATOVIC,Loren,19:36,19.0,36.0,1.0,6.0,0.0,4.0,,,1.0,1.0,0.0,1.0,,,,,,,,,1.0,,1.0,,,,1.0,,,,,,,1.0,CRO,ESP,L,Player,29,STAVRIDIS,KUN
743,LONCAR,Luka,18:35,18.0,35.0,0.0,1.0,,,0.0,1.0,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,0.0,CRO,ESP,L,Player,29,STAVRIDIS,KUN
744,JOKOVIC,Maro,25:04,25.0,4.0,0.0,3.0,0.0,2.0,,,,,,,0.0,1.0,,,,,,,,,2.0,1.0,,,1.0,,,,,,,1.0,CRO,ESP,L,Player,29,STAVRIDIS,KUN
745,BUKIC,Luka,26:51,26.0,51.0,2.0,6.0,1.0,4.0,,,,,1.0,2.0,,,,,,,,,,2.0,,,1.0,2.0,,,,,,,,0.0,CRO,ESP,L,Player,29,STAVRIDIS,KUN
746,VUKICEVIC,Ante,24:11,24.0,11.0,0.0,5.0,0.0,3.0,,,,,0.0,2.0,,,,,,,,,,,2.0,1.0,,,,,,,,,,0.0,CRO,ESP,L,Player,29,STAVRIDIS,KUN
747,BUSLJE,Andro,14:55,14.0,55.0,0.0,4.0,0.0,3.0,,,,,0.0,1.0,,,,,,,,,,,,1.0,,,,1.0,,,1.0,,,2.0,CRO,ESP,L,Player,29,STAVRIDIS,KUN
748,MILOS,Lovre,21:04,21.0,4.0,,,,,,,,,,,,,,,,,,,,1.0,,,0.0,2.0,,,,,,,1.0,1.0,CRO,ESP,L,Player,29,STAVRIDIS,KUN
749,VRLIC,Josip,14:36,14.0,36.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,1.0,CRO,ESP,L,Player,29,STAVRIDIS,KUN
750,GARCIA GADEA,Javier,19:13,19.0,13.0,0.0,2.0,0.0,1.0,,,,,0.0,1.0,,,,,,,,,,,,1.0,,,,1.0,,,,,,1.0,CRO,ESP,L,Player,29,STAVRIDIS,KUN
751,MARCELIC,Ivan,8:00,8.0,0.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,0.0,CRO,ESP,L,Player,29,STAVRIDIS,KUN
752,,,,,,4.0,28.0,1.0,17.0,0.0,1.0,1.0,1.0,2.0,8.0,0.0,1.0,,,,,,,2.0,5.0,6.0,5.0,1.0,4.0,5.0,2.0,,,1.0,,2.0,10.0,CRO,ESP,L,Team,29,STAVRIDIS,KUN
753,CAMPBELL,Richard,23:11,23.0,11.0,2.0,5.0,0.0,1.0,,,,,2.0,4.0,,,,,,,,,,1.0,,,,,2.0,,,,,,,2.0,AUS,KAZ,W,Player,30,STAVRIDIS,KUN
754,FORD,George,12:10,12.0,10.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,1.0,,,1.0,AUS,KAZ,W,Player,30,GOLDENBERG,MOLLER
755,TOMASEVIC,Goran,12:53,12.0,53.0,0.0,2.0,,,0.0,1.0,,,0.0,1.0,,,,,,,,,2.0,1.0,,,,,2.0,,,,,,,2.0,AUS,KAZ,W,Player,30,GOLDENBERG,MOLLER
756,POWER,Nathan,10:41,10.0,41.0,0.0,1.0,,,,,,,0.0,1.0,,,,,,,,,,,,,,,1.0,,,,,,,1.0,AUS,KAZ,W,Player,30,GOLDENBERG,MOLLER
757,EDWARDS,Lachlan Robert,19:52,19.0,52.0,1.0,3.0,,,1.0,3.0,,,,,,,,,,,,,2.0,,1.0,,,,1.0,,,,,,,1.0,AUS,KAZ,W,Player,30,GOLDENBERG,MOLLER
758,ROACH,Aidan,11:04,11.0,4.0,,,,,,,,,,,,,,,,,,,1.0,1.0,2.0,,,,,2.0,,,,,,2.0,AUS,KAZ,W,Player,30,GOLDENBERG,MOLLER
759,YOUNGER,Aaron,20:43,20.0,43.0,2.0,5.0,1.0,3.0,,,,,1.0,1.0,,,,,,,0.0,1.0,,2.0,1.0,,,,1.0,,,,,,,1.0,AUS,KAZ,W,Player,30,GOLDENBERG,MOLLER
760,FORD,Andrew,19:37,19.0,37.0,1.0,4.0,1.0,3.0,,,,,0.0,1.0,,,,,,,,,,,,,,,1.0,1.0,,,,,,2.0,AUS,KAZ,W,Player,30,GOLDENBERG,MOLLER
761,PUTT,Timothy Francis,14:49,14.0,49.0,1.0,2.0,1.0,1.0,0.0,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,0.0,AUS,KAZ,W,Player,30,GOLDENBERG,MOLLER
762,HOWDEN,Rhys,19:02,19.0,2.0,5.0,7.0,1.0,2.0,,,1.0,1.0,3.0,4.0,,,,,,,,,,1.0,1.0,,4.0,4.0,,,,,,,,0.0,AUS,KAZ,W,Player,30,GOLDENBERG,MOLLER
763,EDWARDS,Blake,27:58,27.0,58.0,3.0,4.0,1.0,2.0,,,,,,,,,,,,,2.0,2.0,,2.0,,,,,1.0,,,,,,,1.0,AUS,KAZ,W,Player,30,GOLDENBERG,MOLLER
764,DENNERLEY,Joel,32:00,32.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,AUS,KAZ,W,Player,30,GOLDENBERG,MOLLER
765,,,,,,15.0,33.0,5.0,12.0,1.0,5.0,1.0,1.0,6.0,12.0,,,,,,,2.0,3.0,5.0,8.0,8.0,,4.0,4.0,9.0,3.0,,,1.0,,,13.0,AUS,KAZ,W,Team,30,GOLDENBERG,MOLLER
766,MAKHMETOV,Madikhan,32:00,32.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,KAZ,AUS,L,Player,30,GOLDENBERG,MOLLER
767,MEDVEDEV,Yevgeniy,22:20,22.0,20.0,0.0,3.0,0.0,2.0,,,,,0.0,1.0,,,,,,,,,,1.0,1.0,1.0,,,,,,1.0,1.0,,,2.0,KAZ,AUS,L,Player,30,MOLLER,GOLDENBERG
768,AUBAKIROV,Miras,22:13,22.0,13.0,,,,,,,,,,,,,,,,,,,1.0,,2.0,,0.0,1.0,,1.0,,,,,,1.0,KAZ,AUS,L,Player,30,MOLLER,GOLDENBERG
769,MARKOVIC,Dusan,20:12,20.0,12.0,0.0,2.0,0.0,1.0,,,,,0.0,1.0,,,,,,,,,,1.0,1.0,3.0,,,1.0,,,,,,,1.0,KAZ,AUS,L,Player,30,MOLLER,GOLDENBERG
770,SHMIDER,Alexey,21:17,21.0,17.0,1.0,4.0,0.0,2.0,,,,,1.0,2.0,,,,,,,,,,,1.0,,,,1.0,,,,,,,1.0,KAZ,AUS,L,Player,30,MOLLER,GOLDENBERG
771,ARTYUKH,Danil,5:24,5.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,3.0,KAZ,AUS,L,Player,30,MOLLER,GOLDENBERG
772,SHAKENOV,Murat,24:48,24.0,48.0,2.0,5.0,2.0,5.0,,,,,,,,,,,,,,,,1.0,,1.0,,,,1.0,,,1.0,,,2.0,KAZ,AUS,L,Player,30,MOLLER,GOLDENBERG
773,VUKSANOVIC,Srdan,2:10,2.0,10.0,0.0,2.0,,,,,,,0.0,2.0,,,,,,,,,,,,,0.0,1.0,,,,,,,,0.0,KAZ,AUS,L,Player,30,MOLLER,GOLDENBERG
774,UKUMANOV,Rustam,21:31,21.0,31.0,2.0,4.0,,,1.0,1.0,,,1.0,3.0,,,,,,,,,,,,1.0,,,,1.0,,,,,,1.0,KAZ,AUS,L,Player,30,MOLLER,GOLDENBERG
775,RUDAY,Mikhail,16:29,16.0,29.0,1.0,3.0,1.0,1.0,0.0,2.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,KAZ,AUS,L,Player,30,MOLLER,GOLDENBERG
776,ALTAYEV,Altay,15:12,15.0,12.0,0.0,1.0,,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,KAZ,AUS,L,Player,30,MOLLER,GOLDENBERG
777,SHVEDOV,Stanislav,20:24,20.0,24.0,1.0,3.0,1.0,1.0,,,,,0.0,2.0,,,,,,,,,,,,,0.0,2.0,,,,,,,,0.0,KAZ,AUS,L,Player,30,MOLLER,GOLDENBERG
778,,,,,,7.0,27.0,4.0,12.0,1.0,4.0,,,2.0,11.0,,,,,,,,,3.0,3.0,5.0,6.0,0.0,4.0,6.0,3.0,,1.0,2.0,,,12.0,KAZ,AUS,L,Team,30,MOLLER,GOLDENBERG
779,ZERDEVAS,Emmanouil,32:00,32.0,0.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,0.0,GRE,MNE,W,Player,31,MOLLER,GOLDENBERG
780,GENIDOUNIAS,Konstantinos,25:08,25.0,8.0,5.0,10.0,3.0,7.0,,,,,0.0,1.0,,,,,2.0,2.0,,,,1.0,,,0.0,1.0,,,,,,,,0.0,GRE,MNE,W,Player,31,SEVERO,ALEXANDRESCU
781,SKOUMPAKIS,Dimitrios,6:18,6.0,18.0,0.0,2.0,0.0,2.0,,,,,,,,,,,,,,,1.0,,,,,,3.0,,,,,,,3.0,GRE,MNE,W,Player,31,SEVERO,ALEXANDRESCU
782,KAPOTSIS,Marios,17:22,17.0,22.0,1.0,3.0,1.0,2.0,,,,,,,,,,,,,0.0,1.0,,,1.0,1.0,,,2.0,,,,,,,2.0,GRE,MNE,W,Player,31,SEVERO,ALEXANDRESCU
783,FOUNTOULIS,Ioannis,25:23,25.0,23.0,1.0,6.0,1.0,6.0,,,,,,,,,,,,,,,,,2.0,1.0,,,,,,,,,,0.0,GRE,MNE,W,Player,31,SEVERO,ALEXANDRESCU
784,PAPANASTASIOU,Alexandros,21:09,21.0,9.0,1.0,1.0,,,,,,,1.0,1.0,,,,,,,,,,,,,2.0,3.0,1.0,,,,,,,1.0,GRE,MNE,W,Player,31,SEVERO,ALEXANDRESCU
785,DERVISIS,Georgios,19:35,19.0,35.0,0.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,1.0,,3.0,,,1.0,,,,,,,1.0,GRE,MNE,W,Player,31,SEVERO,ALEXANDRESCU
786,ARGYROPOULOS KANAKAKIS,Stylianos,22:33,22.0,33.0,1.0,3.0,1.0,1.0,,,,,0.0,2.0,,,,,,,,,1.0,,2.0,,,,1.0,,,,,,,1.0,GRE,MNE,W,Player,31,SEVERO,ALEXANDRESCU
787,MOURIKIS,Konstantinos,11:18,11.0,18.0,0.0,2.0,0.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,GRE,MNE,W,Player,31,SEVERO,ALEXANDRESCU
788,KOLOMVOS,Christodoulos,8:33,8.0,33.0,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,0.0,GRE,MNE,W,Player,31,SEVERO,ALEXANDRESCU
789,GKIOUVETSIS,Konstantinos,9:59,9.0,59.0,1.0,2.0,0.0,1.0,,,,,1.0,1.0,,,,,,,,,1.0,,1.0,,,,,,,,,,,0.0,GRE,MNE,W,Player,31,SEVERO,ALEXANDRESCU
790,VLACHOPOULOS,Angelos,24:42,24.0,42.0,0.0,2.0,,,,,,,0.0,2.0,,,,,,,,,,2.0,,,,,1.0,,,,1.0,,,2.0,GRE,MNE,W,Player,31,SEVERO,ALEXANDRESCU
791,,,,,,10.0,32.0,6.0,21.0,0.0,1.0,,,2.0,7.0,,,,,2.0,2.0,0.0,1.0,5.0,6.0,7.0,5.0,2.0,4.0,10.0,,,,1.0,,,11.0,GRE,MNE,W,Team,31,SEVERO,ALEXANDRESCU
792,KANDIC,Slaven,32:00,32.0,0.0,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,0.0,MNE,GRE,L,Player,31,SEVERO,ALEXANDRESCU
793,BRGULJAN,Drasko,12:05,12.0,5.0,1.0,3.0,1.0,3.0,,,,,,,,,,,,,,,,1.0,2.0,,2.0,3.0,,,,,,,1.0,1.0,MNE,GRE,L,Player,31,ALEXANDRESCU,SEVERO
794,PERKOVIC,Miroslav,13:34,13.0,34.0,0.0,3.0,,,0.0,2.0,,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,0.0,MNE,GRE,L,Player,31,ALEXANDRESCU,SEVERO
795,PETKOVIC,Marko,12:16,12.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,1.0,3.0,MNE,GRE,L,Player,31,ALEXANDRESCU,SEVERO
796,CUCKOVIC,Uros,13:58,13.0,58.0,1.0,3.0,,,1.0,1.0,,,0.0,2.0,,,,,,,,,,,,1.0,,,,,,,,,,0.0,MNE,GRE,L,Player,31,ALEXANDRESCU,SEVERO
797,POPADIC,Vlado,23:51,23.0,51.0,0.0,1.0,0.0,1.0,,,,,,,,,,,,,,,1.0,,,,0.0,1.0,,,,,,,,0.0,MNE,GRE,L,Player,31,ALEXANDRESCU,SEVERO
798,VIDOVIC,Stefan,12:53,12.0,53.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,MNE,GRE,L,Player,31,ALEXANDRESCU,SEVERO
799,UKROPINA,Aleksa,26:50,26.0,50.0,0.0,5.0,0.0,3.0,,,,,0.0,2.0,,,,,,,,,,,2.0,1.0,,,,,,,,,,0.0,MNE,GRE,L,Player,31,ALEXANDRESCU,SEVERO
800,IVOVIC,Aleksandar,30:23,30.0,23.0,2.0,4.0,1.0,1.0,,,,,0.0,2.0,,,,,,,1.0,1.0,1.0,,1.0,1.0,,,,,,,,,,0.0,MNE,GRE,L,Player,31,ALEXANDRESCU,SEVERO
801,SPAIC,Vladan,8:40,8.0,40.0,0.0,1.0,,,0.0,1.0,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,0.0,MNE,GRE,L,Player,31,ALEXANDRESCU,SEVERO
802,MATKOVIC,Dusan,26:47,26.0,47.0,0.0,6.0,0.0,5.0,,,,,0.0,1.0,,,,,,,,,,,1.0,,,,,,,,1.0,,,1.0,MNE,GRE,L,Player,31,ALEXANDRESCU,SEVERO
803,BANICEVIC,Dusan,10:43,10.0,43.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,2.0,,,,,,,2.0,MNE,GRE,L,Player,31,ALEXANDRESCU,SEVERO
804,,,,,,4.0,26.0,2.0,13.0,1.0,4.0,,,0.0,8.0,,,,,,,1.0,1.0,5.0,4.0,6.0,4.0,2.0,4.0,5.0,,,,1.0,,2.0,8.0,MNE,GRE,L,Team,31,ALEXANDRESCU,SEVERO
805,Del LUNGO,Marco,32:00,32.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,ITA,SRB,L,Player,32,ALEXANDRESCU,SEVERO
806,Di FULVIO,Francesco,25:29,25.0,29.0,1.0,5.0,1.0,2.0,,,,,0.0,2.0,,,,,,,0.0,1.0,,2.0,,,1.0,2.0,,1.0,,,,,,1.0,ITA,SRB,L,Player,32,STAVRIDIS,VOEVODIN
807,LUONGO,Stefano,26:29,26.0,29.0,1.0,3.0,0.0,1.0,,,,,1.0,2.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,0.0,ITA,SRB,L,Player,32,STAVRIDIS,VOEVODIN
808,FIGLIOLI,Pietro,20:46,20.0,46.0,0.0,9.0,0.0,6.0,,,,,0.0,3.0,,,,,,,,,,,2.0,,1.0,1.0,,,,,,,,0.0,ITA,SRB,L,Player,32,STAVRIDIS,VOEVODIN
809,PRESCIUTTI,Nicholas,15:06,15.0,6.0,2.0,2.0,,,,,,,2.0,2.0,,,,,,,,,,,,,,,2.0,,,,,,,2.0,ITA,SRB,L,Player,32,STAVRIDIS,VOEVODIN
810,VELOTTO,Alessandro,22:49,22.0,49.0,0.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,0.0,ITA,SRB,L,Player,32,STAVRIDIS,VOEVODIN
811,RENZUTO IODICE,Vincenzo,8:14,8.0,14.0,0.0,1.0,0.0,1.0,,,,,,,,,,,,,,,1.0,1.0,,,,,2.0,,,,,,1.0,3.0,ITA,SRB,L,Player,32,STAVRIDIS,VOEVODIN
812,ECHENIQUE,Gonzalo,28:08,28.0,8.0,0.0,5.0,0.0,3.0,,,,,0.0,2.0,,,,,,,,,,,1.0,,,,,,,,,,,0.0,ITA,SRB,L,Player,32,STAVRIDIS,VOEVODIN
813,FIGARI,Niccolo,3:46,3.0,46.0,1.0,2.0,,,,,,,1.0,2.0,,,,,,,,,,,,,,,2.0,,,,,,,2.0,ITA,SRB,L,Player,32,STAVRIDIS,VOEVODIN
814,BODEGAS,Michael Alexandre,18:18,18.0,18.0,1.0,2.0,,,,,,,1.0,2.0,,,,,,,,,2.0,,,,,,2.0,,,,,,,2.0,ITA,SRB,L,Player,32,STAVRIDIS,VOEVODIN
815,AICARDI,Matteo,13:42,13.0,42.0,0.0,1.0,,,,,,,0.0,1.0,,,,,,,,,2.0,,,,,,,,,,,,,0.0,ITA,SRB,L,Player,32,STAVRIDIS,VOEVODIN
816,DOLCE,Vincenzo,9:13,9.0,13.0,0.0,2.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,ITA,SRB,L,Player,32,STAVRIDIS,VOEVODIN
817,,,,,,6.0,33.0,1.0,16.0,,,,,5.0,16.0,,,,,,,0.0,1.0,5.0,4.0,4.0,,3.0,4.0,9.0,1.0,,,,,1.0,11.0,ITA,SRB,L,Team,32,STAVRIDIS,VOEVODIN
818,MANDIC,Dusan,19:49,19.0,49.0,2.0,5.0,1.0,2.0,,,,,1.0,2.0,,,,,,,0.0,1.0,,,,2.0,,,1.0,,,,,,,1.0,SRB,ITA,W,Player,32,STAVRIDIS,VOEVODIN
819,DEDOVIC,Nikola,19:30,19.0,30.0,1.0,2.0,0.0,1.0,,,,,1.0,1.0,,,,,,,,,,,2.0,,0.0,2.0,1.0,1.0,,,,,,2.0,SRB,ITA,W,Player,32,VOEVODIN,STAVRIDIS
820,RANDELOVIC,Sava,5:38,5.0,38.0,0.0,1.0,,,0.0,1.0,,,,,,,,,,,,,,,1.0,,,,2.0,,,,,,,2.0,SRB,ITA,W,Player,32,VOEVODIN,STAVRIDIS
821,LAZIC,Dorde,16:10,16.0,10.0,,,,,,,,,,,,,,,,,,,2.0,,,2.0,,,,,,1.0,,,,1.0,SRB,ITA,W,Player,32,VOEVODIN,STAVRIDIS
822,PIJETLOVIC,Dusko,15:50,15.0,50.0,0.0,2.0,,,0.0,1.0,,,0.0,1.0,,,,,,,,,,,,,,,2.0,,,,,,,2.0,SRB,ITA,W,Player,32,VOEVODIN,STAVRIDIS
823,RASOVIC,Strahin a,24:14,24.0,14.0,2.0,5.0,1.0,1.0,0.0,1.0,1.0,2.0,,,,,,,,,0.0,1.0,2.0,1.0,3.0,,1.0,2.0,,,,,,,,0.0,SRB,ITA,W,Player,32,VOEVODIN,STAVRIDIS
824,ALEKSIC,Milan,10:00,10.0,0.0,0.0,1.0,0.0,1.0,,,,,,,,,,,,,,,1.0,,,1.0,,,2.0,,,,,,,2.0,SRB,ITA,W,Player,32,VOEVODIN,STAVRIDIS
825,JAKSIC,Nikola,17:06,17.0,6.0,0.0,2.0,0.0,1.0,,,,,,,0.0,1.0,,,,,,,1.0,,1.0,,,,1.0,1.0,,,,,,2.0,SRB,ITA,W,Player,32,VOEVODIN,STAVRIDIS
826,FILIPOVIC,Filip,23:36,23.0,36.0,3.0,4.0,3.0,3.0,,,,,,,,,,,0.0,1.0,,,,,2.0,2.0,,,1.0,,,,,,,1.0,SRB,ITA,W,Player,32,VOEVODIN,STAVRIDIS
827,PRLAINOVIC,Andri a,27:26,27.0,26.0,2.0,6.0,1.0,2.0,,,0.0,1.0,1.0,2.0,0.0,1.0,,,,,,,,2.0,1.0,,,,,2.0,,,,,,2.0,SRB,ITA,W,Player,32,VOEVODIN,STAVRIDIS
828,MITROVIC,Stefan,12:41,12.0,41.0,0.0,2.0,0.0,1.0,,,,,0.0,1.0,,,,,,,,,,1.0,,,,,1.0,,,,2.0,,,3.0,SRB,ITA,W,Player,32,VOEVODIN,STAVRIDIS
829,MITROVIC,Branislav,32:00,32.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,SRB,ITA,W,Player,32,VOEVODIN,STAVRIDIS
830,,,,,,10.0,30.0,6.0,12.0,0.0,3.0,1.0,3.0,3.0,7.0,0.0,2.0,,,0.0,1.0,0.0,2.0,6.0,4.0,10.0,7.0,1.0,4.0,11.0,4.0,,1.0,2.0,,,18.0,SRB,ITA,W,Team,32,VOEVODIN,STAVRIDIS
831,NAGY,Viktor,32:00,32.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,HUN,CRO,W,Player,33,VOEVODIN,STAVRIDIS
832,ANGYAL,Daniel,9:33,9.0,33.0,1.0,2.0,0.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,2.0,,,,1.0,,,3.0,HUN,CRO,W,Player,33,DERVIEUX,OHME
833,MANHERCZ,Krisztian,28:09,28.0,9.0,7.0,8.0,,,1.0,1.0,,,5.0,5.0,1.0,1.0,,,,,0.0,1.0,,2.0,,1.0,0.0,1.0,,,,,,,,0.0,HUN,CRO,W,Player,33,DERVIEUX,OHME
834,ZALANKI,Gergo,26:19,26.0,19.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,3.0,,,,,1.0,,,,,,1.0,HUN,CRO,W,Player,33,DERVIEUX,OHME
835,VAMOS,Marton,19:06,19.0,6.0,2.0,6.0,1.0,2.0,,,,,1.0,4.0,,,,,,,,,,,3.0,1.0,,,1.0,1.0,,,,,,2.0,HUN,CRO,W,Player,33,DERVIEUX,OHME
836,HOSNYANSZKY,Norbert,4:47,4.0,47.0,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,3.0,HUN,CRO,W,Player,33,DERVIEUX,OHME
837,PASZTOR,Matyas,8:03,8.0,3.0,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,1.0,1.0,,,,,,2.0,HUN,CRO,W,Player,33,DERVIEUX,OHME
838,JANSIK,Szilard,14:29,14.0,29.0,1.0,3.0,,,,,,,0.0,1.0,,,,,1.0,1.0,0.0,1.0,1.0,,2.0,2.0,,,2.0,,,,,,,2.0,HUN,CRO,W,Player,33,DERVIEUX,OHME
839,ERDELYI,Balazs,24:38,24.0,38.0,1.0,1.0,,,,,,,1.0,1.0,,,,,,,,,1.0,,1.0,,1.0,3.0,2.0,,,,1.0,,,3.0,HUN,CRO,W,Player,33,DERVIEUX,OHME
