,Last,First,Play Time,Minutes,Seconds,Goals,Shots,Action Goals,Action Shots,Center Goals,Center Shots,Drive Goals,Drive Shots,Extra Goals,Extra Shots,Foul Goals,Foul Shots,6MF Goals,6MF Shots,PS Goals,PS Shots,CA Goals,CA Shots,TF,ST,RB,BL,SP Won,SP Attempts,CP EX,FP EX,DS EX,M6 EX,CS EX,DE,P EX,Total EX,Team,Opponent,Outcome,stat_type,Tournament
1007,FIGARI,Niccolo,15:40,15,40,0,2,0,2,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,1,ITA,MNE,1,Player,OLY2020
1008,BODEGAS,Michael Alexandre,10:08,10,8,1,1,,,,,,,1,1,,,,,,,,,2,,,1,,,,1,,,,,,1,ITA,MNE,1,Player,OLY2020
1009,AICARDI,Matteo,19:27,19,27,1,1,,,1,1,,,,,,,,,,,,,,1,,,,,,1,,1,,,,2,ITA,MNE,1,Player,OLY2020
1010,DOLCE,Vincenzo,8:37,8,37,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,1,ITA,MNE,1,Player,OLY2020
1011,NICOSIA,Gianmarco,32:00:00,32,0,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,1,ITA,MNE,1,Player,OLY2020
1012,,,,,,14,26,9,17,1,1,0,1,3,6,1,1,,,,,,,5,10,3,4,3,4,,3,2,2,3,,4,14,ITA,MNE,1,Team,OLY2020
1013,MACAN,Marko,15:24,15,24,1,1,,,,,,,1,1,,,,,,,,,,,2,,,,2,1,,,,1,,4,CRO,USA,1,Player,OLY2020
1014,FATOVIC,Loren,18:34,18,34,0,2,0,1,,,,,0,1,,,,,,,,,1,2,1,,,,,,,,,,,0,CRO,USA,1,Player,OLY2020
1015,LONCAR,Luka,15:30,15,30,2,3,,,,,,,2,3,,,,,,,,,,1,2,,,,,,,,,,,0,CRO,USA,1,Player,OLY2020
1016,JOKOVIC,Maro,25:21:00,25,21,2,7,1,4,,,0,1,,,0,1,,,1,1,,,,1,,1,,,1,,,,,,,1,CRO,USA,1,Player,OLY2020
1017,BUKIC,Luka,26:19:00,26,19,3,6,1,3,,,,,1,2,,,,,1,1,,,,,,,1,3,,1,,,,,,1,CRO,USA,1,Player,OLY2020
1018,VUKICEVIC,Ante,22:35,22,35,2,4,1,3,,,1,1,,,,,,,,,,,,2,,,,,,,,,,,,0,CRO,USA,1,Player,OLY2020
1019,BUSLJE,Andro,12:10,12,10,,,,,,,,,,,,,,,,,,,,,,,,,2,,,1,,,,3,CRO,USA,1,Player,OLY2020
1020,MILOS,Lovre,13:34,13,34,1,1,,,,,,,,,,,,,,,1,1,,,,,0,1,,,,,,,,0,CRO,USA,1,Player,OLY2020
1021,VRLIC,Josip,16:30,16,30,0,5,0,1,0,2,,,0,2,,,,,,,,,1,1,2,1,,,,,,,,,1,1,CRO,USA,1,Player,OLY2020
1022,OBRADOVIC,Paulo,7:13,7,13,1,3,0,1,,,,,1,2,,,,,,,,,,,,,,,1,,1,,1,,,3,CRO,USA,1,Player,OLY2020
1023,GARCIA GADEA,Javier,18:50,18,50,2,3,2,3,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,CRO,USA,1,Player,OLY2020
1024,MARCELIC,Ivan,32:00:00,32,0,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,0,CRO,USA,1,Player,OLY2020
1025,,,,,,14,35,5,16,0,2,1,2,5,11,0,1,,,2,2,1,1,3,8,7,2,1,4,6,2,2,1,1,1,1,14,CRO,USA,1,Team,OLY2020
1026,HOOPER,Johnny,19:32,19,32,2,4,0,1,,,,,1,1,,,,,,,1,2,1,,,1,3,4,,,,,,,1,1,USA,CRO,0,Player,OLY2020
1027,VAVIC,Marko,21:05,21,5,0,1,0,1,,,,,,,,,,,,,,,1,,3,2,,,,,,,,,,0,USA,CRO,0,Player,OLY2020
1028,OBERT,Alex,13:12,13,12,2,2,1,1,,,,,1,1,,,,,,,,,1,,2,,,,2,,,,,,,2,USA,CRO,0,Player,OLY2020
1029,DAUBE,Hannes,20:29,20,29,0,2,0,1,,,,,0,1,,,,,,,,,,,,,,,1,,,,,,1,2,USA,CRO,0,Player,OLY2020
1030,CUPIDO,Luca,22:31,22,31,0,3,0,2,,,,,,,0,1,,,,,,,,,,,,,1,,,,,,,1,USA,CRO,0,Player,OLY2020
1031,HALLOCK,Ben,22:17,22,17,2,4,,,,,,,2,4,,,,,,,,,1,,,,,,,1,,,,1,,2,USA,CRO,0,Player,OLY2020
1032,WOODHEAD,Dylan,10:08,10,8,,,,,,,,,,,,,,,,,,,1,,,,,,2,,,,,,,2,USA,CRO,0,Player,OLY2020
1033,BOWEN,Alex,24:43:00,24,43,2,7,0,4,,,,,2,2,0,1,,,,,,,,2,1,,,,1,,,,,,,1,USA,CRO,0,Player,OLY2020
1034,STEVENSON,Ben,12:55,12,55,1,3,0,1,,,,,0,1,,,,,1,1,,,,,,,,,1,,,1,,,,2,USA,CRO,0,Player,OLY2020
1035,SMITH,Jesse,7:45,7,45,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,USA,CRO,0,Player,OLY2020
1036,IRVING,Max,17:23,17,23,2,2,,,,,,,1,1,,,,,,,1,1,,1,,,,,,,,1,1,,,2,USA,CRO,0,Player,OLY2020
1037,HOLLAND,Drew,32:00:00,32,0,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,0,USA,CRO,0,Player,OLY2020
1038,,,,,,11,28,1,11,,,,,7,11,0,2,,,1,1,2,3,9,6,6,3,3,4,9,1,,2,1,1,2,16,USA,CRO,0,Team,OLY2020
1039,NAGY,Viktor,32:00:00,32,0,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,0,HUN,ESP,1,Player,OLY2020
1040,ANGYAL,Daniel,17:57,17,57,1,3,1,3,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,1,HUN,ESP,1,Player,OLY2020
1041,MANHERCZ,Krisztian,26:31:00,26,31,1,5,0,4,,,,,1,1,,,,,,,,,,3,2,4,0,2,,,,,,,,0,HUN,ESP,1,Player,OLY2020
1042,ZALANKI,Gergo,17:33,17,33,1,3,0,2,,,,,1,1,,,,,,,,,,1,1,,,,2,,,,1,,,3,HUN,ESP,1,Player,OLY2020
1043,VAMOS,Marton,27:28:00,27,28,2,3,0,1,,,,,2,2,,,,,,,,,,1,,,,,,,,,,,,0,HUN,ESP,1,Player,OLY2020
1044,HOSNYANSZKY,Norbert,10:50,10,50,1,2,0,1,,,,,1,1,,,,,,,,,,,,,,,3,,,,,,,3,HUN,ESP,1,Player,OLY2020
1045,PASZTOR,Matyas,13:12,13,12,0,3,0,3,,,,,,,,,,,,,,,,,,,,,2,,,1,,,,3,HUN,ESP,1,Player,OLY2020
1046,JANSIK,Szilard,12:50,12,50,1,2,0,1,,,,,,,,,,,,,1,1,1,,1,,,,2,,,,,,,2,HUN,ESP,1,Player,OLY2020
1047,ERDELYI,Balazs,20:34,20,34,0,3,0,2,,,0,1,,,,,,,,,,,,2,,,0,2,1,,,,,,,1,HUN,ESP,1,Player,OLY2020
1048,VARGA,Denes,17:44,17,44,1,3,1,3,,,,,,,,,,,,,,,,,,,,,3,,,,,,,3,HUN,ESP,1,Player,OLY2020
1049,MEZEI,Tamas,14:04,14,4,0,1,,,0,1,,,,,,,,,,,,,1,,1,,,,,,,,,,,0,HUN,ESP,1,Player,OLY2020
1050,HARAI,Balazs,13:17,13,17,1,1,,,,,,,1,1,,,,,,,,,3,,,1,,,1,,1,,,,,2,HUN,ESP,1,Player,OLY2020
1051,,,,,,9,29,2,20,0,1,0,1,6,6,,,,,,,1,1,5,8,5,6,0,4,14,,2,1,1,,,18,HUN,ESP,1,Team,OLY2020
1052,LOPEZ PINEDO,Daniel,31:48:00,31,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,ESP,HUN,0,Player,OLY2020
1053,MUNARRIZ EGANA,Alberto,28:39:00,28,39,2,7,0,5,,,,,2,2,,,,,,,,,,,1,,,,,,,,,,,0,ESP,HUN,0,Player,OLY2020
1054,GRANADOS ORTEGA,Alvaro,21:02,21,2,0,3,0,1,,,,,0,2,,,,,,,,,,,2,,,,,1,,,,,,1,ESP,HUN,0,Player,OLY2020
1055,SANAHUJA,Bernat,21:38,21,38,0,3,0,3,,,,,,,,,,,,,,,,1,,,,,,,,,,,,0,ESP,HUN,0,Player,OLY2020
1056,de TORO DOMINGUEZ,Miguel,8:53,8,53,1,1,,,,,,,1,1,,,,,,,,,2,,,,,,1,,1,,,,,2,ESP,HUN,0,Player,OLY2020
1057,LARUMBE GONFAUS,Marc,13:48,13,48,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,0,ESP,HUN,0,Player,OLY2020
1058,FAMERA,Martin,18:02,18,2,0,2,,,,,,,0,2,,,,,,,,,,,,1,4,4,1,1,,,,,,2,ESP,HUN,0,Player,OLY2020
1059,FERNANDEZ MIRANDA,Francisco,9:18,9,18,0,2,,,,,,,0,1,,,,,,,0,1,,,,,,,,,,,,,,0,ESP,HUN,0,Player,OLY2020
1060,TAHULL COMPTE,Roger,17:55,17,55,1,3,,,,,,,1,3,,,,,,,,,,,,,,,,,,,,,,0,ESP,HUN,0,Player,OLY2020
1061,PERRONE ROCHA,Felipe,26:23:00,26,23,1,5,0,1,,,,,1,3,0,1,,,,,,,,,2,,,,,,,,,,,0,ESP,HUN,0,Player,OLY2020
1062,MALLARACH GUELL,Blai,14:57,14,57,0,3,0,2,,,,,0,1,,,,,,,,,,,1,1,,,1,,,,,,,1,ESP,HUN,0,Player,OLY2020
1063,BUSTOS SANCHEZ,Ale andro,11:37,11,37,,,,,,,,,,,,,,,,,,,,,1,1,,,2,,,,,,,2,ESP,HUN,0,Player,OLY2020
1064,,,,,,5,29,0,12,,,,,5,15,0,1,,,,,0,1,2,2,7,3,4,4,5,2,1,,,,,8,ESP,HUN,0,Team,OLY2020
1065,ZERDEVAS,Emmanouil,32:00:00,32,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,GRE,SRB,0,Player,OLY2020
1066,GENIDOUNIAS,Konstantinos,20:51,20,51,0,7,0,5,,,,,0,2,,,,,,,,,,,1,,0,1,1,,,,,,,1,GRE,SRB,0,Player,OLY2020
1067,SKOUMPAKIS,Dimitrios,10:38,10,38,2,2,,,,,,,2,2,,,,,,,,,,1,1,,,,1,,,,,,1,2,GRE,SRB,0,Player,OLY2020
1068,KAPOTSIS,Marios,15:11,15,11,0,3,0,2,,,,,0,1,,,,,,,,,,,1,,,,,,,,,,,0,GRE,SRB,0,Player,OLY2020
1069,FOUNTOULIS,Ioannis,24:35:00,24,35,2,6,1,3,,,,,1,3,,,,,,,,,1,1,,,,,,1,,,1,,,2,GRE,SRB,0,Player,OLY2020
1070,PAPANASTASIOU,Alexandros,22:23,22,23,1,3,1,2,,,,,0,1,,,,,,,,,,,,,3,3,,,,,1,,,1,GRE,SRB,0,Player,OLY2020
1071,DERVISIS,Georgios,9:48,9,48,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,GRE,SRB,0,Player,OLY2020
1072,ARGYROPOULOS KANAKAKIS,Stylianos,19:45,19,45,0,1,0,1,,,,,,,,,,,,,,,1,1,,,,,2,,,,,,,2,GRE,SRB,0,Player,OLY2020
1073,MOURIKIS,Konstantinos,13:31,13,31,1,2,,,1,1,,,0,1,,,,,,,,,3,,,,,,,,,,,,1,1,GRE,SRB,0,Player,OLY2020
1074,KOLOMVOS,Christodoulos,12:52,12,52,1,1,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,0,GRE,SRB,0,Player,OLY2020
1075,GKIOUVETSIS,Konstantinos,11:27,11,27,1,3,,,,,,,1,3,,,,,,,,,,,1,1,,,,,,,,,,0,GRE,SRB,0,Player,OLY2020
1076,VLACHOPOULOS,Angelos,30:59:00,30,59,2,3,1,2,,,,,1,1,,,,,,,,,1,,2,,,,1,,,,,,,1,GRE,SRB,0,Player,OLY2020
1077,,,,,,10,31,3,15,1,1,,,6,15,,,,,,,,,6,3,6,1,3,4,6,1,,,2,,2,11,GRE,SRB,0,Team,OLY2020
1078,MANDIC,Dusan,24:34:00,24,34,3,6,1,3,,,,,2,2,0,1,,,,,,,1,,1,,,,2,,,,,,,2,SRB,GRE,1,Player,OLY2020
1079,DEDOVIC,Nikola,16:42,16,42,0,1,0,1,,,,,,,,,,,,,,,,,,1,0,1,2,1,,,,,,3,SRB,GRE,1,Player,OLY2020
1080,RANDELOVIC,Sava,11:51,11,51,0,1,0,1,,,,,,,,,,,,,,,,1,,,,,3,,,,,,,3,SRB,GRE,1,Player,OLY2020
1081,LAZIC,Dorde,10:06,10,6,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,1,SRB,GRE,1,Player,OLY2020
1082,PIJETLOVIC,Dusko,17:44,17,44,2,5,,,1,3,,,1,2,,,,,,,,,1,,1,,,,,,,,,,,0,SRB,GRE,1,Player,OLY2020
1083,RASOVIC,Strahin a,23:31,23,31,0,4,0,3,,,,,0,1,,,,,,,,,,1,,,1,3,,,,,,,,0,SRB,GRE,1,Player,OLY2020
1084,ALEKSIC,Milan,12:39,12,39,0,1,0,1,,,,,,,,,,,,,,,1,,1,2,,,3,,,,,,,3,SRB,GRE,1,Player,OLY2020
1085,JAKSIC,Nikola,12:20,12,20,3,3,1,1,,,,,2,2,,,,,,,,,,,,1,,,1,1,,,,,,2,SRB,GRE,1,Player,OLY2020
1086,FILIPOVIC,Filip,21:45,21,45,2,3,1,2,,,,,,,,,,,1,1,,,,,1,1,,,1,,,,,,,1,SRB,GRE,1,Player,OLY2020
1087,PRLAINOVIC,Andri a,23:06,23,6,3,4,0,1,1,1,,,1,1,,,,,1,1,,,1,1,2,,,,1,1,,,,,,2,SRB,GRE,1,Player,OLY2020
1088,MITROVIC,Stefan,17:42,17,42,0,1,,,,,,,0,1,,,,,,,,,,,1,1,,,,,,,,,,0,SRB,GRE,1,Player,OLY2020
1089,MITROVIC,Branislav,32:00:00,32,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,SRB,GRE,1,Player,OLY2020
1090,,,,,,13,29,3,13,2,4,,,6,9,0,1,,,2,2,,,6,3,8,6,1,4,14,3,,,,,,17,SRB,GRE,1,Team,OLY2020
